frag_a,frag_b,label,score,source
NAR_ST_43B_FR_15_F_01_R_01,NAR_ST_43B_FR_17_F_01_R_01,,0.983417,high_confidence
NAR_ST_43B_FR_07_F_01_R_01,NAR_ST_43B_FR_13_F_01_R_01,,0.922343,high_confidence
NAR_ST_43B_FR_06_F_01_R_01,NAR_ST_43B_FR_13_F_01_R_01,,0.829813,high_confidence
NAR_ST_43B_FR_07_F_01_R_01,NAR_ST_43B_FR_08_F_01_R_01,,0.739566,high_confidence
NAR_ST_43B_FR_06_F_01_R_01,NAR_ST_43B_FR_07_F_01_R_01,,0.715885,high_confidence
NAR_ST_43B_FR_04_F_01_R_01,NAR_ST_43B_FR_15_F_01_R_01,,0.699623,high_confidence
NAR_ST_43B_FR_08_F_01_R_01,NAR_ST_43B_FR_12_F_01_R_01,,0.684034,high_confidence
NAR_ST_43B_FR_06_F_01_R_01,NAR_ST_43B_FR_10_F_01_R_01,,0.662463,high_confidence
NAR_ST_43B_FR_04_F_01_R_01,NAR_ST_43B_FR_17_F_01_R_01,,0.645682,high_confidence
NAR_ST_43B_FR_10_F_01_R_01,NAR_ST_43B_FR_13_F_01_R_01,,0.638751,high_confidence
NAR_ST_43B_FR_06_F_01_R_01,NAR_ST_43B_FR_14_F_01_R_01,,0.626640,high_confidence
NAR_ST_43B_FR_07_F_01_R_01,NAR_ST_43B_FR_10_F_01_R_01,,0.613059,high_confidence
NAR_ST_43B_FR_02_F_01_R_01,NAR_ST_43B_FR_05_F_01_R_01,,0.592579,high_confidence
NAR_ST_43B_FR_03_F_01_R_01,NAR_ST_43B_FR_05_F_01_R_01,,0.586166,high_confidence
NAR_ST_43B_FR_11_F_01_R_01,NAR_ST_43B_FR_16_F_01_R_01,,0.584776,high_confidence
NAR_ST_43B_FR_01_F_01_R_02,NAR_ST_43B_FR_02_F_01_R_01,,0.582584,high_confidence
NAR_ST_43B_FR_05_F_01_R_01,NAR_ST_43B_FR_09_F_01_R_01,,0.559207,high_confidence
