frag_a,frag_b,label,score,source
NAR_ST_43B_FR_02_F_01_R_01,NAR_ST_43B_FR_15_F_01_R_01,1,0.900847,high_confidence
NAR_ST_43B_FR_01_F_01_R_02,NAR_ST_43B_FR_03_F_01_R_01,,0.826940,high_confidence
NAR_ST_43B_FR_03_F_01_R_01,NAR_ST_43B_FR_14_F_01_R_01,,0.783326,high_confidence
NAR_ST_43B_FR_01_F_01_R_02,NAR_ST_43B_FR_16_F_01_R_01,,0.771776,high_confidence
NAR_ST_43B_FR_01_F_01_R_02,NAR_ST_43B_FR_14_F_01_R_01,,0.578934,high_confidence
NAR_ST_43B_FR_03_F_01_R_01,NAR_ST_43B_FR_09_F_01_R_01,,0.576605,high_confidence
NAR_ST_43B_FR_03_F_01_R_01,NAR_ST_43B_FR_16_F_01_R_01,,0.555250,high_confidence
NAR_ST_43B_FR_03_F_01_R_01,NAR_ST_43B_FR_05_F_01_R_01,,0.548313,high_confidence
NAR_ST_43B_FR_05_F_01_R_01,NAR_ST_43B_FR_09_F_01_R_01,,0.545134,high_confidence
NAR_ST_43B_FR_10_F_01_R_01,NAR_ST_43B_FR_12_F_01_R_01,,0.525325,high_confidence
NAR_ST_43B_FR_04_F_01_R_01,NAR_ST_43B_FR_08_F_01_R_01,,0.524056,high_confidence
NAR_ST_43B_FR_10_F_01_R_01,NAR_ST_43B_FR_13_F_01_R_01,,0.517991,high_confidence
NAR_ST_43B_FR_06_F_01_R_01,NAR_ST_43B_FR_13_F_01_R_01,,0.517075,high_confidence
NAR_ST_43B_FR_06_F_01_R_01,NAR_ST_43B_FR_08_F_01_R_01,,0.516062,high_confidence
NAR_ST_43B_FR_08_F_01_R_01,NAR_ST_43B_FR_13_F_01_R_01,,0.511616,high_confidence
NAR_ST_43B_FR_07_F_01_R_01,NAR_ST_43B_FR_08_F_01_R_01,,0.497292,high_confidence
NAR_ST_43B_FR_01_F_01_R_02,NAR_ST_43B_FR_05_F_01_R_01,,0.494777,high_confidence
NAR_ST_43B_FR_01_F_01_R_02,NAR_ST_43B_FR_09_F_01_R_01,,0.488658,high_confidence
NAR_ST_43B_FR_12_F_01_R_01,NAR_ST_43B_FR_17_F_01_R_01,,0.463082,high_confidence
NAR_ST_43B_FR_11_F_01_R_01,NAR_ST_43B_FR_16_F_01_R_01,,0.461099,high_confidence
NAR_ST_43B_FR_04_F_01_R_01,NAR_ST_43B_FR_14_F_01_R_01,,0.459547,high_confidence
NAR_ST_43B_FR_09_F_01_R_01,NAR_ST_43B_FR_11_F_01_R_01,,0.458503,high_confidence
NAR_ST_43B_FR_07_F_01_R_01,NAR_ST_43B_FR_13_F_01_R_01,,0.455136,high_confidence
NAR_ST_43B_FR_12_F_01_R_01,NAR_ST_43B_FR_16_F_01_R_01,,0.438204,high_confidence
NAR_ST_43B_FR_06_F_01_R_01,NAR_ST_43B_FR_15_F_01_R_01,,0.437897,high_confidence
NAR_ST_43B_FR_09_F_01_R_01,NAR_ST_43B_FR_16_F_01_R_01,,0.436535,high_confidence
NAR_ST_43B_FR_11_F_01_R_01,NAR_ST_43B_FR_17_F_01_R_01,,0.428418,high_confidence
NAR_ST_43B_FR_14_F_01_R_01,NAR_ST_43B_FR_16_F_01_R_01,,0.393468,high_confidence
NAR_ST_43B_FR_04_F_01_R_01,NAR_ST_43B_FR_05_F_01_R_01,,0.378517,high_confidence
NAR_ST_43B_FR_01_F_01_R_02,NAR_ST_43B_FR_12_F_01_R_01,,0.378040,high_confidence
NAR_ST_43B_FR_06_F_01_R_01,NAR_ST_43B_FR_10_F_01_R_01,,0.366180,high_confidence
NAR_ST_43B_FR_02_F_01_R_01,NAR_ST_43B_FR_06_F_01_R_01,,0.360252,high_confidence
NAR_ST_43B_FR_09_F_01_R_01,NAR_ST_43B_FR_12_F_01_R_01,,0.356209,high_confidence
NAR_ST_43B_FR_15_F_01_R_01,NAR_ST_43B_FR_17_F_01_R_01,,0.355284,high_confidence
NAR_ST_43B_FR_01_F_01_R_02,NAR_ST_43B_FR_11_F_01_R_01,,0.323817,high_confidence
NAR_ST_43B_FR_03_F_01_R_01,NAR_ST_43B_FR_11_F_01_R_01,,0.296451,high_confidence
NAR_ST_43B_FR_07_F_01_R_01,NAR_ST_43B_FR_15_F_01_R_01,,0.285456,high_confidence
NAR_ST_43B_FR_06_F_01_R_01,NAR_ST_43B_FR_07_F_01_R_01,,0.260062,high_confidence
NAR_ST_43B_FR_02_F_01_R_01,NAR_ST_43B_FR_17_F_01_R_01,,0.257573,high_confidence
NAR_ST_43B_FR_02_F_01_R_01,NAR_ST_43B_FR_07_F_01_R_01,,0.249175,high_confidence
NAR_ST_43B_FR_16_F_01_R_01,NAR_ST_43B_FR_17_F_01_R_01,,0.247382,high_confidence
NAR_ST_43B_FR_10_F_01_R_01,NAR_ST_43B_FR_15_F_01_R_01,,0.238587,high_confidence
NAR_ST_43B_FR_03_F_01_R_01,NAR_ST_43B_FR_04_F_01_R_01,,0.211305,high_confidence
NAR_ST_43B_FR_05_F_01_R_01,NAR_ST_43B_FR_14_F_01_R_01,,0.205170,high_confidence
NAR_ST_43B_FR_01_F_01_R_02,NAR_ST_43B_FR_04_F_01_R_01,,0.203861,high_confidence
NAR_ST_43B_FR_11_F_01_R_01,NAR_ST_43B_FR_14_F_01_R_01,,0.169784,high_confidence
NAR_ST_43B_FR_08_F_01_R_01,NAR_ST_43B_FR_14_F_01_R_01,0,0.145478,high_confidence
NAR_ST_43B_FR_09_F_01_R_01,NAR_ST_43B_FR_17_F_01_R_01,0,0.133512,high_confidence
NAR_ST_43B_FR_09_F_01_R_01,NAR_ST_43B_FR_14_F_01_R_01,0,0.113359,high_confidence
NAR_ST_43B_FR_13_F_01_R_01,NAR_ST_43B_FR_15_F_01_R_01,0,0.106764,high_confidence
NAR_ST_43B_FR_02_F_01_R_01,NAR_ST_43B_FR_08_F_01_R_01,0,0.104480,ambiguous
